City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,6.67,93,100,8.32,overcast clouds
1,Butaritari,KI,3.0707,172.7902,80.96,69,11,2.82,few clouds
2,Hithadhoo,MV,-0.6,73.0833,81.88,74,60,13.85,broken clouds
3,Lima,PE,-12.0432,-77.0282,66.9,81,0,6.91,clear sky
4,Rikitea,PF,-23.1203,-134.9692,72.12,84,99,9.13,light rain
5,Victoria,HK,22.2855,114.1577,73.45,93,100,17.0,light rain
6,Port Elizabeth,ZA,-33.918,25.5701,66.31,79,73,7.0,broken clouds
7,Yellowknife,CA,62.456,-114.3525,16.32,92,75,5.75,light snow
8,Castro,BR,-24.7911,-50.0119,60.4,98,30,7.18,scattered clouds
9,Khatanga,RU,71.9667,102.5,-40.97,100,60,3.62,broken clouds
10,Busselton,AU,-33.65,115.3333,67.89,50,100,10.25,overcast clouds
11,Bengkulu,ID,-3.8004,102.2655,79.09,79,100,4.41,overcast clouds
12,Arraial Do Cabo,BR,-22.9661,-42.0278,73.45,92,100,23.82,overcast clouds
13,Alberton,CA,46.8168,-64.0654,25.16,53,98,22.57,overcast clouds
14,Jamestown,US,42.097,-79.2353,37.04,64,0,4.61,clear sky
15,Ushuaia,AR,-54.8,-68.3,37.06,87,20,12.66,few clouds
16,Hermanus,ZA,-34.4187,19.2345,57.79,77,100,16.06,light rain
17,Mataura,NZ,-46.1927,168.8643,56.48,62,50,11.59,scattered clouds
18,Vaini,TO,-21.2,-175.2,82.56,78,40,12.66,scattered clouds
19,Hobart,AU,-42.8794,147.3294,67.26,55,75,17.27,broken clouds
20,Cidreira,BR,-30.1811,-50.2056,64.65,78,3,3.38,clear sky
21,Port Alfred,ZA,-33.5906,26.891,65.17,84,64,3.0,broken clouds
22,Dunedin,NZ,-45.8742,170.5036,56.8,66,89,11.01,overcast clouds
23,Esperance,AU,-33.8667,121.9,72.77,63,46,17.18,scattered clouds
24,East London,ZA,-33.0153,27.9116,66.69,78,53,14.79,broken clouds
25,Anadyr,RU,64.75,177.4833,21.7,92,100,40.26,overcast clouds
26,Mogadishu,SO,2.0371,45.3438,80.15,76,7,11.5,light rain
27,Nanortalik,GL,60.1432,-45.2371,30.04,74,97,8.59,overcast clouds
28,Georgetown,MY,5.4112,100.3354,87.89,82,20,2.3,few clouds
29,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.52,82,38,3.65,scattered clouds
30,Tautira,PF,-17.7333,-149.15,75.9,86,100,16.75,light rain
31,Marawi,PH,7.9986,124.2928,81.12,68,81,4.18,moderate rain
32,Gao,ML,16.6362,1.637,67.08,15,7,12.66,clear sky
33,Tasiilaq,GL,65.6145,-37.6368,30.36,63,87,11.14,overcast clouds
34,Goundam,ML,16.4145,-3.6708,73.76,16,100,9.19,overcast clouds
35,Porto Santo,PT,33.072,-16.3415,68.38,56,40,3.44,scattered clouds
36,Mahebourg,MU,-20.4081,57.7,80.26,78,75,8.05,broken clouds
37,Cap Malheureux,MU,-19.9842,57.6142,80.47,66,23,11.99,few clouds
38,Zhigansk,RU,66.7697,123.3711,-39.57,99,61,1.45,broken clouds
39,San Vicente,AR,-26.6167,-54.1333,54.55,78,0,2.57,clear sky
40,Rocha,UY,-34.4833,-54.3333,59.29,57,1,9.15,clear sky
41,Kapaa,US,22.0752,-159.319,76.98,80,20,13.8,few clouds
42,Atuona,PF,-9.8,-139.0333,77.76,78,11,13.04,light rain
43,Ahipara,NZ,-35.1667,173.1667,62.8,72,42,16.35,scattered clouds
44,Nikolskoye,RU,59.7035,30.7861,22.91,91,31,4.94,scattered clouds
45,Garowe,SO,8.4054,48.4845,70.52,80,0,9.15,clear sky
46,Shakhtinsk,KZ,49.71,72.5872,12.42,88,99,5.77,overcast clouds
47,Fortuna,US,40.5982,-124.1573,47.32,100,0,10.36,clear sky
48,Sharan,RU,54.8167,54.0,31.87,98,100,4.09,light snow
49,Tanout,NE,14.9709,8.8879,63.46,24,0,13.58,clear sky
50,Lasa,IT,46.6166,10.7002,29.03,92,36,6.93,scattered clouds
51,Berbera,SO,10.4396,45.0143,77.09,73,0,3.15,clear sky
52,Pevek,RU,69.7008,170.3133,-21.35,94,100,2.93,overcast clouds
53,Aklavik,CA,68.2191,-135.0107,2.73,98,97,3.87,overcast clouds
54,Kiruna,SE,67.8557,20.2251,11.32,85,100,0.0,overcast clouds
55,Tres Arroyos,AR,-38.3739,-60.2798,59.63,58,0,8.57,clear sky
56,Dingle,PH,10.9995,122.6711,85.95,73,84,12.12,broken clouds
57,Henties Bay,NA,-22.116,14.2845,60.19,83,9,5.03,clear sky
58,Punta Arenas,CL,-53.15,-70.9167,39.11,65,8,18.92,clear sky
59,Kankon,IN,15.0167,74.0167,81.43,70,80,3.33,broken clouds
60,Vardo,NO,70.3705,31.1107,21.18,86,75,28.77,broken clouds
61,New Norfolk,AU,-42.7826,147.0587,66.92,52,98,7.0,overcast clouds
62,Albany,US,42.6001,-73.9662,36.91,82,11,3.0,few clouds
63,Avarua,CK,-21.2078,-159.775,78.85,73,100,13.8,overcast clouds
64,Qaanaaq,GL,77.484,-69.3632,11.44,93,93,1.88,overcast clouds
65,Muroto,JP,33.2833,134.15,63.79,58,99,2.13,overcast clouds
66,Golden,US,39.7555,-105.2211,38.19,54,75,12.66,broken clouds
67,Hobyo,SO,5.3505,48.5268,79.83,70,3,11.14,clear sky
68,Thinadhoo,MV,0.5333,72.9333,81.75,74,100,13.29,overcast clouds
69,Pivijay,CO,10.4617,-74.6162,73.96,89,17,3.4,few clouds
70,Chuy,UY,-33.6971,-53.4616,59.38,71,4,7.63,clear sky
71,Colquechaca,BO,-18.6667,-66.0167,32.95,76,100,4.25,overcast clouds
72,Zeya,RU,53.75,127.2667,4.96,86,100,5.59,overcast clouds
73,Skole,UA,49.0372,23.5135,36.01,97,100,1.79,overcast clouds
74,Puerto Ayora,EC,-0.7393,-90.3518,67.55,97,61,3.0,broken clouds
75,Paita,PE,-5.0892,-81.1144,64.56,86,11,7.18,few clouds
76,Cam Ranh,VN,11.9214,109.1591,85.96,74,20,4.61,few clouds
77,Noumea,NC,-22.2763,166.4572,78.78,84,88,16.42,overcast clouds
78,Abnub,EG,27.2696,31.1511,57.81,62,0,5.41,clear sky
79,Kodinar,IN,20.7903,70.7031,79.05,33,1,10.4,clear sky
80,Naze,JP,28.3667,129.4833,68.5,61,62,9.35,broken clouds
81,Norman Wells,CA,65.282,-126.8329,1.44,85,75,3.44,broken clouds
82,Saskylakh,RU,71.9167,114.0833,-35.16,100,97,2.48,overcast clouds
83,Bluff,NZ,-46.6,168.3333,56.8,67,33,24.49,scattered clouds
84,Marsaxlokk,MT,35.8419,14.5431,66.07,94,75,19.57,broken clouds
85,Aykhal,RU,66.0,111.5,-14.64,100,100,5.37,overcast clouds
86,Lebu,CL,-37.6167,-73.65,56.62,93,34,14.72,scattered clouds
87,Ostrovnoy,RU,68.0531,39.5131,22.93,85,78,6.02,broken clouds
88,Tel Aviv-Yafo,IL,32.0805,34.7805,63.37,80,20,5.75,few clouds
89,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.25,88,100,17.92,light rain
90,Longyearbyen,SJ,78.2186,15.6401,31.84,93,75,6.91,light snow
91,Guerrero Negro,MX,27.9769,-114.0611,61.68,72,0,9.86,clear sky
92,Monchegorsk,RU,67.9397,32.8739,21.25,96,100,4.18,overcast clouds
93,Faanui,PF,-16.4833,-151.75,79.39,76,98,7.67,overcast clouds
94,Kutum,SD,14.2,24.6667,60.46,33,9,6.46,clear sky
95,Grindavik,IS,63.8424,-22.4338,41.47,70,0,31.07,moderate rain
96,Maldonado,UY,-34.6667,-54.9167,65.59,53,0,9.44,clear sky
97,Villazon,BO,-22.0866,-65.5942,49.69,50,100,6.2,overcast clouds
98,Tucurui,BR,-3.7661,-49.6725,73.98,94,69,3.36,broken clouds
99,Neyvo-Shaytanskiy,RU,57.7286,61.2496,12.69,91,100,8.16,overcast clouds
